truck_id,order_id,route_fit,schedule_fit,capacity_fit,semantic_fit,match_berhasil
TRK-001,ORD-0001,False,True,False,True,0
TRK-001,ORD-0002,False,False,True,True,0
TRK-001,ORD-0003,False,True,True,True,0
TRK-001,ORD-0004,False,True,True,True,0
TRK-001,ORD-0006,True,True,False,True,0
TRK-001,ORD-0007,True,True,True,True,1
TRK-001,ORD-0008,True,True,True,True,1
TRK-001,ORD-0009,True,False,True,True,0
TRK-001,ORD-0010,True,False,False,True,0
TRK-001,ORD-0011,False,False,True,True,0
TRK-001,ORD-0012,True,True,True,True,1
TRK-001,ORD-0013,False,False,False,True,0
TRK-001,ORD-0014,False,False,True,True,0
TRK-001,ORD-0015,False,True,True,True,0
TRK-001,ORD-0016,False,False,False,True,0
TRK-001,ORD-0017,False,True,True,True,0
TRK-001,ORD-0018,True,True,True,True,1
TRK-001,ORD-0019,False,True,True,True,0
TRK-001,ORD-0020,True,False,False,True,0
TRK-001,ORD-0021,True,False,False,True,0
TRK-001,ORD-0022,True,True,True,True,1
TRK-001,ORD-0023,True,False,False,True,0
TRK-001,ORD-0024,False,False,False,True,0
TRK-001,ORD-0025,False,True,False,True,0
TRK-001,ORD-0026,False,True,False,True,0
TRK-001,ORD-0027,False,False,False,True,0
TRK-001,ORD-0028,True,True,True,True,1
TRK-001,ORD-0029,False,True,True,True,0
TRK-001,ORD-0030,False,True,False,True,0
TRK-001,ORD-0031,True,False,True,True,0
TRK-001,ORD-0032,False,True,True,True,0
TRK-001,ORD-0033,False,True,True,True,0
TRK-001,ORD-0034,False,True,True,True,0
TRK-001,ORD-0036,True,True,True,True,1
TRK-001,ORD-0037,True,True,True,True,1
TRK-001,ORD-0039,False,True,True,True,0
TRK-001,ORD-0040,False,False,True,True,0
TRK-001,ORD-0041,False,False,True,True,0
TRK-001,ORD-0042,False,False,True,True,0
TRK-001,ORD-0043,False,False,True,True,0
TRK-001,ORD-0044,False,True,False,True,0
TRK-001,ORD-0045,False,True,True,True,0
TRK-001,ORD-0046,True,True,False,True,0
TRK-001,ORD-0047,True,True,True,True,1
TRK-001,ORD-0049,True,True,True,True,1
TRK-001,ORD-0050,False,True,True,True,0
TRK-001,ORD-0051,True,False,False,True,0
TRK-001,ORD-0052,False,True,True,True,0
TRK-001,ORD-0053,True,False,True,True,0
TRK-001,ORD-0054,False,False,False,True,0
TRK-001,ORD-0055,True,False,True,True,0
TRK-001,ORD-0056,True,False,True,True,0
TRK-001,ORD-0057,True,False,True,True,0
TRK-001,ORD-0058,True,True,False,True,0
TRK-001,ORD-0059,True,True,False,True,0
TRK-001,ORD-0060,True,True,False,True,0
TRK-001,ORD-0061,False,True,True,True,0
TRK-001,ORD-0062,False,True,False,True,0
TRK-001,ORD-0063,True,True,True,True,1
TRK-001,ORD-0064,False,True,False,True,0
TRK-001,ORD-0065,True,False,True,True,0
TRK-001,ORD-0066,False,True,True,True,0
TRK-001,ORD-0067,False,False,False,True,0
TRK-001,ORD-0068,True,False,True,True,0
TRK-001,ORD-0069,False,True,True,True,0
TRK-001,ORD-0070,False,True,True,True,0
TRK-001,ORD-0072,False,True,False,True,0
TRK-001,ORD-0073,False,True,False,True,0
TRK-001,ORD-0074,False,True,True,True,0
TRK-001,ORD-0075,False,False,True,True,0
TRK-001,ORD-0076,False,True,True,True,0
TRK-001,ORD-0077,False,False,True,True,0
TRK-001,ORD-0078,False,False,True,True,0
TRK-001,ORD-0079,False,True,True,True,0
TRK-001,ORD-0080,True,True,True,True,1
TRK-001,ORD-0081,False,True,False,True,0
TRK-001,ORD-0082,False,False,False,True,0
TRK-001,ORD-0083,True,True,False,True,0
TRK-001,ORD-0084,False,True,True,True,0
TRK-001,ORD-0085,False,True,False,True,0
TRK-001,ORD-0086,False,True,True,True,0
TRK-001,ORD-0087,False,False,True,True,0
TRK-001,ORD-0088,True,False,False,True,0
TRK-001,ORD-0089,True,True,True,True,1
TRK-001,ORD-0090,True,True,True,True,1
TRK-001,ORD-0091,False,True,True,True,0
TRK-001,ORD-0092,True,False,False,True,0
TRK-001,ORD-0093,False,False,True,True,0
TRK-001,ORD-0094,True,False,False,True,0
TRK-001,ORD-0095,False,True,True,True,0
TRK-001,ORD-0096,True,False,False,True,0
TRK-001,ORD-0097,False,True,True,True,0
TRK-001,ORD-0098,False,True,False,True,0
TRK-001,ORD-0099,True,True,True,True,1
TRK-001,ORD-0100,False,True,True,True,0
TRK-001,ORD-0101,False,True,False,True,0
TRK-001,ORD-0102,True,True,True,True,1
TRK-001,ORD-0103,True,True,False,True,0
TRK-001,ORD-0104,False,False,False,True,0
TRK-001,ORD-0105,True,False,True,True,0
TRK-001,ORD-0106,True,True,True,True,1
TRK-001,ORD-0107,False,False,True,True,0
TRK-001,ORD-0108,True,True,True,True,1
TRK-001,ORD-0109,True,True,False,True,0
TRK-001,ORD-0110,True,True,True,True,1
TRK-001,ORD-0111,False,True,True,True,0
TRK-001,ORD-0112,False,False,True,True,0
TRK-001,ORD-0113,False,True,False,True,0
TRK-001,ORD-0114,False,False,False,True,0
TRK-001,ORD-0115,True,False,True,True,0
TRK-001,ORD-0116,True,False,True,True,0
TRK-001,ORD-0117,True,True,True,True,1
TRK-001,ORD-0118,True,True,False,True,0
TRK-001,ORD-0120,True,True,False,True,0
TRK-001,ORD-0121,False,True,True,True,0
TRK-001,ORD-0122,True,False,False,True,0
TRK-001,ORD-0123,False,False,False,True,0
TRK-001,ORD-0124,True,False,True,True,0
TRK-001,ORD-0125,True,True,True,True,1
TRK-001,ORD-0126,False,False,True,True,0
TRK-001,ORD-0127,False,False,True,True,0
TRK-001,ORD-0128,False,True,True,True,0
TRK-001,ORD-0129,False,False,True,True,0
TRK-001,ORD-0130,False,False,False,True,0
TRK-001,ORD-0131,False,False,True,True,0
TRK-001,ORD-0132,True,True,True,True,1
TRK-001,ORD-0133,True,False,False,True,0
TRK-001,ORD-0134,False,False,False,True,0
TRK-001,ORD-0135,True,False,True,True,0
TRK-001,ORD-0136,False,False,True,True,0
